Campus,Grade Level Category/Group,"Day/s of the Week(M,T,W,Th, and/or F)",Week,Hour/Period,Start Time (24 hr),End Time (24 hr)
Vinland,High School,"M, T, W, Th, F",All,ZH,8:00,8:15
Vinland,High School,"M, T, Th",All,WH,10:36,10:56
Vinland,High School,"M, T, Th",All,L,12:33,13:04
Vinland,High School,"W, F",All,L,12:40,13:10
Vinland,High School,"M, T, Th",All,HRM,8:15,8:15:01
Vinland,High School,F,All,D,8:15,8:55
Vinland,High School,W,All,C,8:15,8:55
Vinland,High School,"M, T, Th",All,8,14:42,15:25
Vinland,High School,"W, F",All,8,14:44,15:25
Vinland,High School,"M, T, Th",All,7,13:55,14:38
Vinland,High School,"W, F",All,7,13:59,14:40
Vinland,High School,"M, T, Th",All,6,13:08,13:51
Vinland,High School,"W, F",All,6,13:14,13:55
Vinland,High School,"M, T, Th",All,5,11:50,12:33
Vinland,High School,"W, F",All,5,11:59,12:40
Vinland,High School,"M, T, Th",All,4,11:00,11:46
Vinland,High School,"W, F",All,4,11:14,11:55
Vinland,High School,"M, T, Th",All,3,9:49,10:32
Vinland,High School,"W, F",All,3,10:29,11:10
Vinland,High School,"M, T, Th",All,2,9:02,9:45
Vinland,High School,"W, F",All,2,9:44,10:25
Vinland,High School,"M, T, Th",All,1,8:15:01,8:58
Vinland,High School,"W, F",All,1,8:59,9:40
Vinland,High School,"M, T, W, Th, F",2,SEC,8:00,8:15
